"Article","Web Description","Brand","Type","Size","Power","Pack Qty","DQ Score"
"342304","Draper VDE Screwdriver 3 x 100mm Slotted","Draper","Screwdrivers","3x100mm",NA,"1",1
"342306","Draper VDE Screwdriver 4 x 100mm Slotted","Draper","Screwdrivers","4x100mm",NA,"1",1
"247400","Stanley Tape Measure Tylon 5m","Stanley","Tape Measures, Levels and Rulers","5m",NA,"1",1
"247407","Stanley Junior Hacksaw Blade 150mm 5pk","Stanley","Saws and Blades","150mm",NA,"5pk",1
"290126","Stanley Light Duty Staples 8mm Type 53 100pk","Stanley","Staples and Staplers","8mm,",NA,"1000pk",1
"342497","Stanley PowerLock Tape Measure Silver Effect 5m","Stanley","Tape Measures, Levels and Rulers","5m",NA,"1",1
"135746","Wilko Pruner Vinyl Grip Handles 8in","Wilko","Secateurs, Pruners and Garden Shears",NA,NA,NA,1
"209031","Wilko Scratch Awl 7in","Wilko","Punches and Rivetter","7in",NA,"1",1
"209045","Wilko Wooden Mallet 4in","Wilko","Hammers and Mallets","4in",NA,"1",1
"209098","Wilko Combination Pliers 175mm","Wilko","Pliers, Spanners and Wrenches","7in",NA,"1",1
"209105","Wilko Straight Cut Aviation Snips 10in","Wilko","Snips, Pincers and Shears","10in",NA,"1",1
"209409","Wilko Precision Ruler 1m","Wilko","Tape Measures, Levels and Rulers","1m",NA,"1",1
"209429","Wilko Brick Bolster Chisel 225 x 100mm","Wilko","Chisels","225x100mm",NA,"1",1
"209430","Wilko Cold Chisel 12mm","Wilko","Chisels","12mm",NA,"1",1
"244530","Wilko Ruler and Level 600mm","Wilko","Tape Measures, Levels and Rulers","600mm",NA,"1",1
"286614","Wilko Pliers Mini Set 3piece","Wilko","Pliers, Spanners and Wrenches","3Piece",NA,"3pcs",1
"286625","Wilko Screwdriver Pozi No 1 100mm","Wilko","Screwdrivers","100mm, No 1",NA,"1",1
"286626","Wilko Screwdriver Pozi No 2 100mm","Wilko","Screwdrivers","100mm, No 2",NA,"1",1
"286627","Wilko Screwdriver Pozi No.3 150mm","Wilko","Screwdrivers","150mm, No 3",NA,"1",1
"286632","Wilko Screwdriver Pozi No 2 38mm","Wilko","Screwdrivers","38mm, No 2",NA,"1",1
"286636","Wilko Adjustable Wrench 6in","Wilko","Pliers, Spanners and Wrenches","152mm, 6in",NA,"1",1
"286637","Wilko Adjustable Wrench 200mm","Wilko","Pliers, Spanners and Wrenches","200mm, 8in",NA,"1",1
"286638","Wilko Adjustable Wrench 250mm","Wilko","Pliers, Spanners and Wrenches","10in",NA,"1",1
"343376","Wilko Mini Clamp 100mm 2pieces","Wilko","Clamps and Vices","100mm",NA,"2pcs",1
"343401","Wilko Sledge Hammer 3Lb","Wilko","Hammers and Mallets","3Lb",NA,"1",1
"343428","Wilko Aluminium Marking Ruler 800mm","Wilko","Tape Measures, Levels and Rulers","800mm",NA,"1",1
"343434","Wilko Wrecking Bar 18in","Wilko","Pliers, Spanners and Wrenches","18in",NA,"1",1
"343440","Wilko Plane Block 175 x 40mm","Wilko","Plaining and Filing","175X40mm",NA,"1",1
"343914","Wilko Wood Chisel 1In","Wilko","Chisels","1in",NA,"1",1
"343916","Wilko Aluminum Ruler 300mm","Wilko","Tape Measures, Levels and Rulers","300mm",NA,"1",1
"343919","Wilko Tape Measure 8m","Wilko","Tape Measures, Levels and Rulers","8m",NA,"1",1
"344216","Wilko Junior Hacksaw 6in","Wilko","Saws and Blades","6in",NA,"1",1
"344221","Wilko Tubular Bow Saw 24in","Wilko","Saws and Blades","24in",NA,"1",1
"344223","Wilko Hacksaw High Speed Steel Blades 12in","Wilko","Saws and Blades","12in",NA,"1pk",1
"344225","Wilko Coping Saw Blade 165mm","Wilko","Saws and Blades","165mm",NA,"1",1
"344227","Wilko Hacksaw Inland Blade 6In","Wilko","Saws and Blades","6in",NA,"1pk",1
"344228","Wilko Hacksaw Blades 12in","Wilko","Saws and Blades","12in",NA,"1pk",1
"344236","Wilko Tenon Saw Soft Grip Handle 250mm","Wilko","Saws and Blades","250mm",NA,"1",1
"344238","Wilko Hand Saw Soft Grip Handle 550mm","Wilko","Saws and Blades","550mm",NA,"1",1
"345086","Wilko Soldering Iron 30W 230V","Wilko","Soldering","30w","30W 230V","1",1
"345350","Wilko G Clamp Quick Release 4in","Wilko","Clamps and Vices","4in",NA,"1",1
"408601","Wilko Functional Garden Shovel","Wilko","Digging and Planting",NA,NA,NA,1
"444096","Wilko Digging Spade Carbon Steel","Wilko","Digging and Planting",NA,NA,NA,1
"444106","Wilko Hand Tulip Shovel Carbon Steel","Wilko","Digging and Planting",NA,NA,NA,1
"444108","Wilko Hand Fork Carbon Steel","Wilko","Hand Tools",NA,NA,NA,1
"444130","Wilko Forged Contractor Fork","Wilko","Digging and Planting",NA,NA,NA,1
"447467","Wilko Garden Tool Handle","Wilko","Planting Accessories",NA,NA,NA,1
"343529","Wilko Best Screwdriver Pozi  1 x 100mm","Wilko Best","Screwdrivers","1X100mm",NA,"1",1
"344245","Wilko Best Hand Saw Aluminium Handle  550mm","Wilko Best","Saws and Blades","550mm",NA,"1",1
"209131","Wilko Functional Metric Allen Key 8piece","Wilko Functional","Allen, Chuck and Hex Keys","1.5- 6mm",NA,"8pcs",1
"343449","Wilko Functional Screwdriver 6 x 100mm","Wilko Functional","Screwdrivers","6X100mm",NA,"1",1
"343450","Wilko Functional Screwdriver Pozi  1 x 100mm","Wilko Functional","Screwdrivers","1X100mm",NA,"1",1
"343451","Wilko Functional Screwdriver Pozi 2 x 100mm","Wilko Functional","Screwdrivers","2X100mm",NA,"1",1
